Log file: /home/cx/robot_deploy/log/2026-07-22_16-23-40.txt
Loaded ONNX policy: /home/cx/mjlab-recovered/logs/rsl_rl/custom_biped_velocity_nolinvel/2026-07-20_17-02-11/2026-07-20_17-02-11.onnx
  input=obs[1,65] output=actions[1,6]
  velocity_command=[0.1, 0.0, 0.0]
  startup=move 4s + hold 1s
Connected to /dev/ttyACM0 at 921600 baud; loop rate 200 Hz.
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.09000000357627869, -0.0, -0.36000001430511475] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.18000000715255737, -0.09000000357627869, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, -0.09000000357627869, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.18000000715255737, 0.0, 0.0, 0.0, 0.09000000357627869, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.18000000715255737, -0.0, 0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, -0.5400000214576721, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.0, 0.27000001072883606, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.09000000357627869, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.09000000357627869, 0.0, -0.27000001072883606, 0.0, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, 0.18000000715255737, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, 0.44999998807907104, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.18000000715255737, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.09000000357627869, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[0.27000001072883606, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.0, -0.0, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.09000000357627869, 0.0, 0.0, 0.18000000715255737, 0.18000000715255737, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, -0.18000000715255737, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, -0.18000000715255737, 0.27000001072883606, -0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.27000001072883606, -0.18000000715255737, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.09000000357627869, -0.0, 0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, 0.18000000715255737, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.09000000357627869, 0.0, -0.18000000715255737, 0.0, 0.18000000715255737, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, -0.09000000357627869, -0.18000000715255737, -0.27000001072883606, -0.18000000715255737, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, 0.27000001072883606, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, -0.09000000357627869, 0.09000000357627869, 0.0, -0.18000000715255737, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.18000000715255737, -0.0, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.09000000357627869, 0.0, -0.09000000357627869, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.18000000715255737, 0.09000000357627869, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.09000000357627869, 0.0, 0.0, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.27000001072883606, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.18000000715255737, 0.18000000715255737, 0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.18000000715255737, 0.18000000715255737, 0.18000000715255737, -0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, 0.09000000357627869, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.09000000357627869, -0.27000001072883606, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.27000001072883606, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, -0.09000000357627869, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.7200000286102295, 0.0, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.09000000357627869, -0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, -0.09000000357627869, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.27000001072883606, -0.36000001430511475, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.09000000357627869, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.18000000715255737, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.18000000715255737, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, -0.09000000357627869, 0.18000000715255737, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, -0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, -0.27000001072883606, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.36000001430511475, 0.0, 0.09000000357627869, -0.27000001072883606] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, -0.18000000715255737, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.18000000715255737, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, 0.0, 0.27000001072883606, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, 0.0, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.09000000357627869, -0.0, -0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.09000000357627869, 0.0, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.09000000357627869] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, -0.09000000357627869, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, -0.09000000357627869, -0.09000000357627869, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.27000001072883606, -0.09000000357627869, -0.0, -0.0] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
joint_pos=[-1.2239999771118164, -42.29999923706055, 23.90399932861328, 0.8999999761581421, -21.492000579833984, 28.54800033569336] joint_vel=[-0.0, 0.0, 0.0, 0.0, -0.0, 0.18000000715255737] imu_ang_vel=[0.0, 0.0, 0.0] imu_quat_wxyz=[1.0, 0.0, 0.0, 0.0]
